GRADE,Avg_Yield_Percentage,heat_count,total_production,total_input
SUP11A,86.47,10041,569680.654968806,663610.769427079
SCM420HVC,86.44,1318,74416.87122351272,86700.10184547737
38MNVS5,86.4,7381,418742.07348638575,488135.9323055355
25MOCR4,86.24,4743,269401.8268295684,314568.69729187165
SUP6,86.2,4720,267497.71062626026,312570.11855862715
WSS340A2,86.18,1317,74144.48644489267,86637.17222742108
16MNCR5HH,86.16,686,39043.091609961666,45648.53597952848
S53C,86.13,4031,228110.15559157945,266721.63852880785
41CR4,86.09,21472,1213829.821659263,1420173.1528188917
SAE1141,86.07,2003,113025.0099677294,132274.37916718426
S53CG,86.03,9329,525958.8438717037,615747.0649938353
S48CS1V,86.02,56573,3198097.6819959036,3745109.787033607
SUP9M,86.02,2001,112892.30592583686,132146.7733699248
S45CSQDS1,86.01,2001,112892.76346538759,132146.7733699248
385MNVS6,85.89,685,38854.44119147046,45571.444266436236
S115C,85.88,658,36913.5167434591,43287.66455174431
38MNS6,85.86,14034,790115.4746447784,926828.4940106792
EN1A,85.85,3382,190968.24355128108,224023.2270776205
52CR4MO2V,85.82,1345,75836.23278939353,88996.57213066253
SAE4140,85.77,2055,116405.8606149527,136714.3327993084
SAE8620,85.75,4006,225253.8725731537,264560.24878433486
C38M,85.74,3347,188279.81905965417,221207.24931866207
SAE9254,85.71,7411,417438.3457654044,490581.68172179215
45C8,85.71,14087,792544.5768163023,931328.7005789623
94B17H,85.67,3319,186136.94863940513,218848.58925182308
GRADE3,85.6,21570,1213817.1605991363,1428111.0350335438
36MNVS6,85.57,1344,75569.25687156414,88935.45339564735
42CRMO4,85.41,1343,75346.91127344547,88859.10881818063
SAE52100,85.37,38250,2143894.729298746,2529554.2407909855
51CRV4,85.35,7408,415498.22922401887,490407.5280720301
16MNCR5D,85.34,2029,113910.49529617114,134494.4716971369
434MNHS,85.33,686,38652.6577387053,45633.15290684233
DY7,85.28,18740,1048564.4885259455,1238421.2227399533
SUP9,85.27,28330,1588376.8086308292,1876411.9888431865
40MNVS6,85.2,1343,75150.56869084843,88859.10881818063
S45C,85.18,3403,191016.93707313566,225905.13591144016
SCR420HV,85.17,14114,789500.7229746603,933588.8488561084
S48C,85.15,34244,1915076.343074576,2265046.4882617984
ST52,85.15,659,36654.91407765149,43350.292490746346
VS13111,85.12,685,38507.80813425617,45571.444266436236
15B41,85.08,8706,485899.6811994747,575284.3235378698
SCM435,85.04,2060,115690.90969623752,137044.66218119796
34CRMO4,85.04,1316,73111.4399406328,86575.32910348878
SAE1018,85.03,2689,150195.69063536657,177923.88062134958
C60K,85.02,685,38461.86019907818,45571.444266436236
16MNCR5,85.01,28796,1606586.3410713328,1903532.6234409204
SS35C,84.99,685,38447.356898109276,45571.444266436236
SCR420,84.87,1376,77123.78783819004,91536.23178266412
S45CSQDS,84.73,1370,76656.7019514257,91142.88853287247
SAE1040,84.69,1370,76626.54023792045,91142.88853287247
C70S6,84.66,3373,187752.22490765442,223417.59474329278
12L14,84.61,12750,708531.619120852,843354.1436410794
SAE15B41H,84.53,1317,72721.92714993279,86642.02748615226
SCM415H,84.51,1349,74904.82309470764,89269.37399755
AISI434MO,84.47,659,36352.900704184045,43342.60281798318
S35C,84.31,10808,599361.7435094394,716113.5818871853
C60,84.21,685,38093.011459976726,45571.444266436236
EN19,84.19,2031,112481.18824505665,134618.2600314172
16MNCR5LSI,84.14,14752,814958.3914456589,975560.213274087
52CRMOV4,84.09,5429,300708.53793394996,360194.91892046545
S45CS1VQD,84.08,3318,182603.21000778576,218790.7138269871
C43,84.06,685,38028.338872738925,45571.444266436236
40MNSIVS6,83.99,2632,144419.37557716368,173150.65820697576
SCM420,83.98,3344,184211.59806119578,221005.88218810383
S45CP3,83.93,4,223.04172571955291,266.84055198692
SAE1015,83.85,3977,218239.60064028527,262137.71537978237
SCM420H2V2,83.84,4662,256109.68350774454,307707.6826890188
20MNCR5,83.83,16930,934242.8847830992,1122442.9721358826
SAE1026,83.81,685,37914.86817909174,45571.444266436236
VS1311354,83.73,660,36106.43432928807,43425.67629642603
SAE5150,83.59,1974,107798.53581979564,129862.99365523292
EN19C,83.58,4057,223149.47416450904,268929.5359297371
SAE4135,83.54,1344,73767.79715762434,88929.93098740862
AISI434MO1,83.52,1343,73691.81884702443,88859.10881818063
SCM435H,83.44,3975,217093.49931916394,262009.76702515606
C38N,83.4,1343,73553.35563020379,88859.10881818063
AISI416,83.26,2032,111326.38623107446,134675.32926951427
S45CS1QDS,83.22,14180,776078.2770726396,939453.0509980299
EN8C,83.22,2693,147199.34133124322,178157.56982727768
44MN1VS6,83.2,659,35826.21528976534,43361.32932771235
1541M,83.13,1344,73414.2403037236,88926.9702623413
S40C,83.13,1373,75386.26326180442,91351.0310437306
SAE1117,83.1,685,37592.72458873595,45571.444266436236
53CG,83,658,35676.64835611214,43287.66455174431
S45CS1V,82.97,2056,112648.54973693752,136774.29794547803
45CP3,82.79,659,35645.241339504086,43359.268818118224
SUP9AM,82.78,685,37448.70271551812,45571.444266436236
SAE8319,82.72,685,37423.115481039844,45571.444266436236
SCR415HM,82.58,1344,72943.68020609039,88915.72381125936
EN8M,82.58,686,37415.56182997985,45641.36009265486
SA266,82.51,658,35467.10462466033,43287.66455174431
GRADE2,82.45,2687,145500.99678705976,177790.45231479823
AISI430L,82.41,6035,326439.6233184071,399003.2484255352
EN353,82.34,6059,327871.18630519096,401139.24741071684
22MN6,82.32,2031,110061.19228091468,134617.86385631174
SAE15B41,82.27,4719,255272.2628871668,312488.86211953603
R16,82.21,14845,802447.4132954325,983191.5374740264
C56E2,82.2,661,35489.25720076971,43477.86871247844
SUP9A,82.16,1370,74336.3899485187,91142.88853287247
SSR550,82.06,18096,974250.192576165,1195904.2620264818
40CAD612PB,82.06,658,35272.34097198921,43287.66455174431
5150N,81.58,685,36907.421584906944,45571.444266436236
SCR420HN,81.54,1344,71985.57504896568,88916.4846600077
S43C,81.41,1371,73716.44690658797,91212.31132401194
60SICR8,81.29,4692,250401.13956963277,310184.0108578545
SUP11AM,81.23,3401,182091.78042991983,225768.94083061515
Unknown,81.1,4744,253336.03288749588,314630.3549305928
C45,80.96,2687,142914.67701926146,177774.89298390815
V252550,80.83,658,34746.16179050704,43287.66455174431
B14,80.69,9493,504299.2998761107,629578.4318482359
AISI420,80.55,7987,421378.4241052368,526901.8755067837
266GRADE2,80.27,685,36312.56365459031,45571.444266436236
AISI434MOL,80.26,685,36306.50076926702,45571.444266436236
SGD400,80.22,1370,72579.11675901034,91142.88853287247
SAE4135H,80.2,686,36338.700922369455,45641.87554279268
430L,80.19,687,36358.584964206944,45681.320798913956
SAE59254,80.04,685,36210.897394376916,45571.444266436236
ST523,80.02,3344,175550.83600942363,221005.88218810383
SCR415HN,79.93,658,34357.68446595933,43287.66455174431
40CR4B,79.78,1343,70353.51755628554,88859.10881818063
E3250,79.76,658,34284.52854207699,43287.66455174431
WSSMIA340,79.73,1345,70412.84586800761,88990.01824276919
EN9,79.68,2001,104550.20840463958,132146.7733699248
S55,79.39,658,34125.4896958142,43287.66455174431
SAE8720,79.23,2714,141615.25854306782,180056.9356172912
S25C,78.93,4,215.8264005491738,277.33840294195113
SAE8650,78.9,1343,69585.41756268044,88859.10881818063
EN14B,78.69,685,35597.32099241832,45571.444266436236
AISI410,78.57,8719,449827.41165441973,576630.4007512992
C15PBK,78.27,1370,70811.75755418625,91142.88853287247
16MNCR5H,77.96,1371,70595.08745279402,91214.37287811043
2NI2CRMO,77.75,685,35172.21345039082,45571.444266436236
42CRMOS4,77.55,1370,70164.27358119098,91142.88853287247
38MNSIVS5,77.44,689,35248.31944890044,45852.75572098221
SCM420H3V2,77.08,688,35035.212833864374,45788.90025119343
C45RPB,76.7,10829,546777.6759398134,717993.144311952
S48CSS1V,76.65,660,33040.933316958886,43410.34775158279
35MN6MO3,76.64,660,33028.06299136306,43402.854624995816
VS14250,76.62,3,156.3536937573256,204.08961399757712
WSSMIA340A,75.8,689,34498.359972976425,45846.34660116981
15B25,75.68,686,34287.45544025012,45640.6637235184
SAE1144,75.2,658,32325.11136407568,43287.66455174431
16MNCRS5,74.69,1370,67574.92743561651,91142.88853287247
NITRAALLO,74.67,685,33781.24558687307,45571.444266436236
LF2,74.56,659,32093.163383185434,43347.88725883493
X22CRMOV12L,74.36,658,31962.310697419773,43287.66455174431
SAE8720M,73.96,693,33848.92653245709,46102.37282455818
C45RPBHH,73.69,659,31724.026022712944,43352.03824442203
16MN5CR4,73.68,658,31669.555804291558,43287.66455174431
SAE1541,73.68,658,31669.555804291558,43287.66455174431
35C8,73.68,658,31669.555804291558,43287.66455174431
GTD450,73.07,2713,130576.75516268481,180001.99735105233
VS13113SU,72.89,687,33078.042510125764,45713.82110701312
C45GPB,72.88,685,32969.066452795916,45571.444266436236
ICSS1218,72.88,685,32969.066452795916,45571.444266436236
44MNSIV56,72.88,685,32969.066452795916,45571.444266436236
25CRMO4,72.88,685,32969.066452795916,45571.444266436236
SAE1010,72.88,685,32969.066452795916,45571.444266436236
